Vwind 0,Vwind 1,Vwind 2,Vwind 3,Vwind 4,Vwind 5,Vwind 6,Vwind 7,Vwind 8,Vwind 9,Vwind 10,Vwind 11,Vwind 12,Vwind 13,Vwind 14,Vwind 15,Vwind 16,Vwind 17,Vwind 18,Vwind 19,Vwind 20,Vwind 21,Vwind 22,Vwind 23
0.009538496,0.0060553425,0.010233103,0.006467548,0.014618326,0.008073331,0.0036953855,0.023102777,0.00459833,0.015972884,0.006498819,0.0072536105,0.01639609,0.009453765,0.0030937304,0.012594223,0.010545163,0.015955636,0.02712145,0.019415729,0.006132287,0.0076151984,0.010561785,0.469885
0.028981028,0.014324621,0.014874556,0.016418308,0.01947297,0.00809402,0.0058072056,0.016472308,0.018655816,0.018503137,0.010172281,0.013422475,0.008139527,0.007698313,0.006974689,0.0075694635,0.0029735742,0.024016157,0.00849182,0.009879093,0.014603324,0.000997718,0.0013966551,0.41304147
0.04819181,0.012539984,0.02169173,0.020719009,0.027473044,0.014663636,0.009048373,0.022938456,0.012166003,0.0070004775,0.013511321,0.00376017,0.0009344571,0.00021754124,0.009392029,0.015570967,0.0011001688,0.0074662357,0.0030186137,0.0062922062,0.0136959115,0.021298803,0.006499489,0.37092373
0.05873133,0.0030152,0.018878091,0.02711061,0.030614851,0.023638628,0.015071657,0.0057567805,0.018975079,0.001956071,0.011332928,0.0075301505,0.01695666,0.006369844,0.0014894308,0.002332636,0.0077848323,0.0098410295,0.011055007,0.01578011,0.0033216134,0.007478457,0.014995663,0.3278558
0.060088884,0.0061471374,0.008376022,0.023761727,0.035900787,0.02751226,0.023681667,0.0023228363,0.0019608275,0.010147817,0.005736239,0.016737923,0.019408206,0.010461526,0.005260973,0.0045857187,0.009343493,0.00038064635,0.0066556227,7.064927e-05,0.013552693,0.009007642,0.012984275,0.3105164
0.06312722,0.00462852,0.0011329487,0.012887427,0.032036535,0.033086855,0.027636943,0.011818872,0.0057699825,0.0064103887,0.013761204,0.010696422,0.0055233967,0.013301346,0.011365996,0.010781164,0.0019572747,0.01609515,0.015504569,0.0036552344,0.0021424787,0.01926003,0.0039314274,0.26697004
0.051147617,0.018280184,0.0002374072,0.0027035207,0.01984059,0.02956047,0.033312112,0.017478248,0.014787921,0.012984596,0.0032210913,0.017822899,0.0010052045,0.0108515015,0.013973603,0.0067087878,0.0051669157,0.0077145398,0.0031008176,0.0063658864,0.0015530749,0.0026015446,0.014870929,0.24467988
0.04028004,0.015983474,0.014215475,0.0033019772,0.008939752,0.017432641,0.029853895,0.02397948,0.020230656,0.02144333,0.010035642,0.00051059935,0.008950018,0.0058056735,0.010444126,0.009536548,0.011949209,0.00024689236,0.0041623455,0.011671135,0.008529973,0.005716245,0.0016401623,0.23551793
0.039427847,0.0058069713,0.012111835,0.010810697,0.00917438,0.006758347,0.017368458,0.020932958,0.026813466,0.026507761,0.018619066,0.0063325875,0.008259559,0.013655844,0.0054501235,0.014890476,0.014676874,0.017062353,0.011116261,0.0042670784,0.009664116,0.004670001,0.0016873446,0.21062785
0.04097568,0.0034327868,0.002480834,0.00882878,0.005928995,0.0075855474,0.0059972303,0.009553081,0.023793079,0.03211129,0.024068749,0.015041326,0.014653143,0.0040236763,0.013579574,0.009188974,0.010218003,0.018791731,0.0068009533,0.003420881,0.002669521,0.013124978,0.008164805,0.19139428
0.02749736,0.017065082,0.00018967091,0.0005140567,0.004416761,0.00764857,0.0072481018,0.001480813,0.011940403,0.028778082,0.029809833,0.021033077,0.02247159,0.010979116,0.004179869,0.017324429,0.004953835,0.0062814094,0.009515806,0.014048275,0.00529837,0.0055840467,0.00981233,0.16422646
0.026547307,0.0043195887,0.014441546,0.0023916564,0.0044540428,0.005826328,0.00814569,0.0009259582,0.00060882256,0.016176123,0.026823472,0.026959367,0.02740588,0.01931082,0.0113452375,0.001138628,0.01372498,0.0015341352,0.0142472265,0.015520936,0.01271506,0.0027782328,0.002809149,0.1577434
0.024049774,0.00556337,0.0016699227,0.0120843975,0.006122218,0.0030446716,0.0061983047,0.014460805,0.0028375336,0.0047281547,0.014320206,0.024274142,0.033084884,0.024461705,0.019570064,0.008501769,0.004649135,0.010533336,0.009010526,0.008222557,0.014046979,0.015226667,0.00556334,0.14493535
0.011354813,0.014482051,0.0028858003,0.00040323968,0.008603182,0.0043735923,0.0033971965,0.012340057,0.013073426,0.0069317794,0.002973765,0.0123097,0.029501032,0.030585239,0.024885127,0.016688464,0.011637525,0.008193843,0.01737634,0.0033250726,0.010007854,0.016258778,0.012508121,0.12509064
0.01880448,0.0050456156,0.012477283,0.0009262158,0.0033849298,0.009690982,0.004066718,0.0014640748,0.010780348,0.009842024,0.005527992,0.0009256293,0.017178789,0.02716975,0.031068306,0.022708569,0.019566169,0.014336854,0.001981818,0.012576177,0.004397586,0.008178944,0.014192731,0.125179
0.007857984,0.012301153,0.007436437,0.010782539,0.0021628835,0.0018188271,0.009437252,0.0011602344,0.00021241725,0.0072127967,0.01128928,0.0038474328,0.005388202,0.014967845,0.027620783,0.02863346,0.025478246,0.022771157,0.008185911,0.006891129,0.014172618,0.0026242342,0.010684379,0.12708232
0.000108923894,0.008530169,0.0098170135,0.009302372,0.007752844,0.00035124336,0.0023605223,0.015100024,6.8517045e-05,0.0034994003,0.008700814,0.012763524,0.008314003,0.0031520757,0.015342751,0.024860878,0.03147676,0.029009895,0.016404985,0.013444062,0.005060671,0.012637187,0.005302687,0.10382968
0.024206005,0.022228533,0.00596128,0.00875987,0.012202449,0.01015904,0.0020186675,0.0028810971,0.014707942,0.0037141005,0.002060252,0.009374234,0.0098959645,0.0068395883,0.003639849,0.012241678,0.026981782,0.035546824,0.023580126,0.021135392,0.0111467885,0.006077837,0.015450465,0.0884151
0.033291176,0.006179818,0.019770741,0.0052893288,0.0062503177,0.009566671,0.007981814,0.0028932032,0.0029544213,0.0111792805,0.0023271446,0.0018841933,0.007441171,0.011018309,0.0073073017,0.0005541008,0.013835889,0.031032356,0.03096493,0.02776873,0.018618992,0.011977468,0.0034273914,0.064496525
0.052186523,0.014043277,0.0035979017,0.020056088,0.0028496957,0.009470513,0.013335199,0.012742058,0.0039923503,0.0006265246,0.012491134,0.0030713975,0.0019499904,0.0077686566,0.010483232,0.004211407,0.0012283715,0.018337676,0.027658692,0.03417596,0.024853833,0.019198963,0.0093456395,0.062177487
0.058197662,0.00054689124,0.011372553,0.004074152,0.017411869,0.006468506,0.0051398263,0.008631238,0.014257106,0.000119122,0.0008463407,0.011484098,0.002472354,0.0018337115,0.0068908,0.013937125,0.004649951,0.0062436904,0.014994407,0.030573497,0.03117862,0.025546366,0.016502716,0.066160426
0.058772184,0.0049349684,0.0022077227,0.0117156,0.001349056,0.020951621,0.0024193614,0.010168313,0.0075004376,0.010420971,0.0015457284,0.000112458874,0.011713072,0.0022289183,0.0028068288,0.0104431715,0.013367343,0.009683919,0.0026860826,0.018347671,0.02759476,0.031777516,0.022842929,0.07680214
0.046035193,0.016935013,0.007573489,0.002330943,0.008864108,0.0045556417,0.017757464,0.0074500204,0.010834345,0.011250683,0.01177073,0.0014657803,0.0004681741,0.012475443,0.0033410161,0.00058712607,0.009478134,0.00858143,0.005314896,0.006239005,0.015854437,0.028407265,0.029255234,0.092575006
0.03826041,0.011183415,0.019860758,0.008069369,0.005453057,0.011968556,0.0014642694,0.023453891,0.007957611,0.006766338,0.009603332,0.011692827,5.4915854e-05,0.0005290274,0.011881906,5.2308595e-05,0.00079216657,0.004833734,0.0130870035,0.009470498,0.003459515,0.016972527,0.025635364,0.11328025
